Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
24100080,,4,,56,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 0.750""",ZINC PLATED [GR.5],0.0445,,24100080,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X0.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100081,,6,,56,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.250""",ZINC PLATED [GR.5],0.0684,,24100081,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100175,,10,,56,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/8-16UNC,ZINC PLATED [GR.2],0.0293,,24100175,Inch Fastener,Nut & Washer,E_AB_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100503,,4,,56,,,,EA,B,HEX.NYLON INSERT LOCKNUT,5/16-18UNC,ZINC PLATED [GR.2],0.0173,,24100503,Inch Fastener,Nut & Washer,E_AB_0.313-18.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100504,,2,,56,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/4-20UNC,ZINC PLATED [GR.2],0.0165,,24100504,Inch Fastener,Nut & Washer,E_AB_0.250-20.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100002,,2,,56,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 1.000""",ZINC PLATED [GR.5],0.0253,,24100002,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
54010220,,8,,58,,,,EA,B,HEX.SOC.CAP SCREW,"1/4-28UNF X 0.500"" [A574]",ZINC PLATED,0.4467,,54010220,Inch Fastener,Hex.Socket Head Product,54010220.par         ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
24105979,,2,,58,,,,EA,B,HEX.HD.CAP SCREW-FULL THD.,"3/8-16UNC X 2.000""",ZINC PLATED [GR.5],0.1087,,24105979,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X2.000_F,000_f,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24105879,,2,,58,,,,EA,B,HEX.JAM NUT,5/16-18UNC,ZINC PLATED [GR.5],0.0159,,24105879,Inch Fastener,Nut & Washer,E_CE_0.313-18.PAR    ,par,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104527,,2,,58,,,,EA,B,HEX.JAM NUT,M10-1.50,ZINC PLATED [CL8.8],0.0255,,24104527,Metric Fastener,Nut & Washer,E_CE_M10-1.50.PAR    ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104091,,8,,58,,,,EA,B,HEX.SOC.FH.CAP SCREW,M8-1.25 X 18MM,ZINC PLATED [CL8.8],0.2788,,24104091,Metric Fastener,Hex.Socket Head Product,VTFR_M08-1.25X018.par,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24104102,,2,,58,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M10-1.50,ZINC PLATED [CL8.8],0.0475,,24104102,Metric Fastener,Nut & Washer,E_AB_M10-1.50.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104345,,4,,58,,,,EA,B,HEX.SOC.CAP SCREW,M8-1.25 X 35MM,ZINC PLATED [CL8.8],0.1078,,24104345,Metric Fastener,Hex.Socket Head Product,VTCY_M08-1.25X035.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
