Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
24100053,,2,,87,,,,EA,B,"WASHER;FLAT 0.500""","1.375"" OD;ZINC PLATED[GR.5]",USS,0.042,,24100053,Inch Fastener,Nut & Washer,RP_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100051,,20,,87,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100050,,4,,87,,,,EA,B,"WASHER;FLAT 0.313""","0.875"" OD;ZINC PLATED[GR.5]",USS,0.0112,,24100050,Inch Fastener,Nut & Washer,RP_0.3125.PAR        ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100049,,4,,87,,,,EA,B,"WASHER;FLAT 0.250""","0.734"" OD;ZINC PLATED[GR.5]",USS,0.0103,,24100049,Inch Fastener,Nut & Washer,RP_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100002,,2,,87,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 1.000""",ZINC PLATED [GR.5],0.0253,,24100002,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101198,,6,,87,,,,EA,B,HEX.HD.CAP SCREW,M8-1.25 X 16MM,ZINC PLATED [CL8.8],0.0387,,24101198,Metric Fastener,Hex.Head Product & Screw,VTHE_M08-1.25X016_CLS,25x016_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
185800,,8,,87,,,,EA,B,HEX.SOC.SHOULDER SCREW,M10 X 12MM X M8-1.25,ZINC PLATED,4.9956,,185800,Metric Fastener,Hex.Socket Head Product,185800.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
185514,,6,,87,,,,EA,B,CARRIAGE BOLT,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.2608,,185514,Metric Fastener,Hex.Head Product & Screw,185514.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
185502,,8,,87,,,,EA,B,CARRIAGE BOLT,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.222,,185502,Metric Fastener,Hex.Head Product & Screw,185502.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
156872,,16,,87,,,,EA,B,CARRIAGE BOLT,M6-1.00 X 25MM,ZINC PLATED,0.0862,,156872,Inch Fastener,Hex.Head Product & Screw,156872.par           ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
108467,,4,,87,,,,EA,B,HEX.SOC.FH.CAP SCREW,M10-1.50 X 35MM,ZINC PLATED [CL8.8],0.2556,,108467,Metric Fastener,Hex.Socket Head Product,VTFR_M10-1.50X035.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
215599,,4,,87,,,,EA,P,HEX.SOC.SHOULDER SCREW,M08 X 08MM X M6-1,92981A198,2.431,,215599,Metric Fastener,Hex.Socket Head Product,215599.par           ,par,,90,,LAFCO OUTILLAGE INC. (USD),
24101199,,4,,87,,,,EA,B,HEX.HD.CAP SCREW,M8-1.25 X 20MM,ZINC PLATED [CL8.8],0.0477,,24101199,Metric Fastener,Hex.Head Product & Screw,VTHE_M08-1.25X020_CLS,25x020_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101207,,6,,87,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 40MM,ZINC PLATED [CL8.8],0.1035,,24101207,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X040_CLS,50x040_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
300596,,6,,87,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M10-1.25,ZINC PLATED [CL8.8],0.0754,,300596,Metric Fastener,Nut & Washer,E_AB_M10-1.25.PAR    ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101206,,21,,87,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.0817,,24101206,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X030_CLS,50x030_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104857,,4,,87,,,,EA,B,WASHER;FLAT M8,16MM OD;SS.304[A2],DIN 125A,0.0216,,24104857,Metric Fastener,Nut & Washer,RP_M08_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104854,,10,,87,,,,EA,B,WASHER;FLAT M6,12MM OD;SS.304[A2],DIN 125A,0.0075,,24104854,Metric Fastener,Nut & Washer,RP_M06_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104833,,10,,87,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M6-1.00,[SS.304],0.0461,,24104833,Metric Fastener,Nut & Washer,E_AB_M06-1.00_SS.PAR ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104568,,2,,87,,,,EA,B,HEX.SOC.CAP SCREW,M5-0.80 X 12MM,ZINC PLATED [CL8.8],0.0183,,24104568,Metric Fastener,Hex.Socket Head Product,VTCY_M05-0.80X012.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104548,,19,,87,,,,EA,B,WASHER;SPRING LOCK,M10,ZINC PLATED,0.0505,,24104548,Metric Fastener,Nut & Washer,RR_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,4,,87,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,34,,87,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101217,,4,,87,,,,EA,B,WASHER;FLAT M5,10MM OD;ZINC PLATED[GR.5],DIN 125A,0.0054,,24101217,Metric Fastener,Nut & Washer,RP_M05.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101222,,6,,87,,,,EA,B,WASHER;SPRING LOCK,M5,ZINC PLATED,0.0062,,24101222,Metric Fastener,Nut & Washer,RR_M05.PAR           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,8,,87,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101224,,14,,87,,,,EA,B,WASHER;SPRING LOCK,M8,ZINC PLATED,0.0099,,24101224,Metric Fastener,Nut & Washer,RR_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101501,,24,,87,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M6-1.00,ZINC PLATED [CL8.8],0.0139,,24101501,Metric Fastener,Nut & Washer,E_AB_M06-1.00.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101502,,8,,87,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M8-1.25,ZINC PLATED [CL8.8],0.0177,,24101502,Metric Fastener,Nut & Washer,E_AB_M08-1.25.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101262,,4,,87,,,,EA,B,HEX.HD.CAP SCREW,M5-0.80 X 12MM,ZINC PLATED [CL8.8],0.0194,,24101262,Metric Fastener,Hex.Head Product & Screw,VTHE_M05-0.80X012_CLS,80x012_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24102479,,4,,87,,,,EA,B,HEX.HD.CAP SCREW,M12-1.75 X 35MM,ZINC PLATED [CL8.8],0.1443,,24102479,Metric Fastener,Hex.Head Product & Screw,VTHE_M12-1.75X035_CLS,75x035_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103107,,6,,87,,,,EA,B,WASHER;SPRING LOCK,M12,ZINC PLATED,0.0181,,24103107,Metric Fastener,Nut & Washer,RR_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104102,,36,,87,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M10-1.50,ZINC PLATED [CL8.8],0.0475,,24104102,Metric Fastener,Nut & Washer,E_AB_M10-1.50.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,87,,87,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,4,,87,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102425,,6,,87,,,,EA,B,WASHER;FLAT M8,16MM OD;ZINC PLATED[GR.5],DIN 125A,0.0099,,24102425,Metric Fastener,Nut & Washer,RP_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
113930,,9,,91,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.625""",ZINC PLATED [GR.5],0.0216,,113930,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.625_G,625_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
120470,,4,,91,,,,EA,B,HEX.UNI-TORQUE LOCKNUT,3/4-10UNC [GR.8],ZINC PLATED,0.4766,,120470,Inch Fastener,Nut & Washer,E_AB_0.750-10_GR8.PAR,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
24100056,,26,,91,,,,EA,B,WASHER;SPRING LOCK,"0.250""",ZINC PLATED,0.0056,,24100056,Inch Fastener,Nut & Washer,RR_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100080,,18,,91,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 0.750""",ZINC PLATED [GR.5],0.0445,,24100080,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X0.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100157,,32,,91,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.500""",ZINC PLATED [GR.5],0.0196,,24100157,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.500_G,500_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,16,,91,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,18,,91,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104539,,4,,91,,,,EA,B,WASHER;FLAT M20,37MM OD;ZINC PLATED[GR.5],DIN 125A,0.077,,24104539,Metric Fastener,Nut & Washer,RP_M20.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,42,,91,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100058,,18,,91,,,,EA,B,WASHER;SPRING LOCK,"0.375""",ZINC PLATED,0.0113,,24100058,Inch Fastener,Nut & Washer,RR_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104856,,24,,93,,,,EA,B,WASHER;FLAT M10,20MM OD;SS.304[A2],DIN 125A,0.0255,,24104856,Metric Fastener,Nut & Washer,RP_M10_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
117463,,12,,93,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.750""",[SS.304],0.2279,,117463,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.750_S,750_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
117662,,24,,93,,,,EA,B,HEX.SOC.CAP SCREW,"#8-32UNC X 0.500""",[SS.304],0.0406,,117662,Inch Fastener,Hex.Socket Head Product,VTCY_0.164-32X0.500_S,500_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
117669,,16,,93,,,,EA,B,HEX.SOC.FH.CAP SCREW,"1/4-20UNC X 0.500""",[SS.304],0.0908,,117669,Inch Fastener,Hex.Socket Head Product,VTFR_0.250-20X0.500_S,500_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
123337,,16,,93,,,,EA,B,WASHER;SPRING LOCK,#8,[SS.304],0.0075,,123337,Inch Fastener,Nut & Washer,RR_0.164_SS.PAR      ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
123370,,16,,93,,,,EA,B,WASHER;FLAT M4,9MM OD;SS.304[A2],DIN 125A,0.0043,,123370,Metric Fastener,Nut & Washer,RP_M04_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104854,,48,,93,,,,EA,B,WASHER;FLAT M6,12MM OD;SS.304[A2],DIN 125A,0.0075,,24104854,Metric Fastener,Nut & Washer,RP_M06_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103226,,12,,93,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/8-16UNC,[SS.304],0.0675,,24103226,Inch Fastener,Nut & Washer,E_AB_0.375-16_SS.par ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103224,,44,,93,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/4-20UNC,[SS.304],0.0321,,24103224,Inch Fastener,Nut & Washer,E_AB_0.250-20_SS.par ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102667,,12,,93,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.500""",[SS.304],0.0762,,24102667,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.500_S,500_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102610,,4,,93,,,,EA,B,WASHER;SPRING LOCK,"0.375""",[SS.304],0.027,,24102610,Inch Fastener,Nut & Washer,RR_0.375_SS.PAR      ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103209,,4,,93,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.000""",[SS.304],0.1456,,24103209,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.000_S,000_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102513,,8,,93,,,,EA,B,"WASHER;FLAT 0.250""","0.625"" OD;SS.304[18-8]",SMALL OD,0.0098,,24102513,Inch Fastener,Nut & Washer,RP_0.250_SS.PAR      ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102505,,12,,93,,,,EA,B,WASHER;SPRING LOCK,"0.250""",[SS.304],0.0155,,24102505,Inch Fastener,Nut & Washer,RR_0.250_SS.PAR      ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102128,,4,,93,,,,EA,B,"WASHER;FLAT 0.375""","0.875"" OD;SS.304[18-8]",SMALL OD,0.0214,,24102128,Inch Fastener,Nut & Washer,RP_0.375_SS.PAR      ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
181670,,8,,93,,,,EA,B,CARRIAGE BOLT,"1/4-20UNC X 1.000""",[SS.304],0.135,,181670,Inch Fastener,Hex.Head Product & Screw,BCCC_0.250-20X1.000_S,000_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,60,,99,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104845,,10,,99,,,,EA,B,WASHER;SPRING LOCK,M4,[SS.304],0.0032,,24104845,Metric Fastener,Nut & Washer,RR_M04_SS.PAR        ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104548,,5,,99,,,,EA,B,WASHER;SPRING LOCK,M10,ZINC PLATED,0.0505,,24104548,Metric Fastener,Nut & Washer,RR_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,33,,99,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104245,,20,,99,,,,EA,B,HEX.NYLON INSERT LOCKNUT,#8-32UNC,ZINC PLATED,0.0101,,24104245,Inch Fastener,Nut & Washer,E_AB_0.164-32.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104102,,7,,99,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M10-1.50,ZINC PLATED [CL8.8],0.0475,,24104102,Metric Fastener,Nut & Washer,E_AB_M10-1.50.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101598,,30,,99,,,,EA,B,HEX.SOC.CAP SCREW,"1/4-20UNC X 1.000""",ZINC PLATED [A574],0.0518,,24101598,Inch Fastener,Hex.Socket Head Product,VTCY_0.250-20X1.000.p,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,7,,99,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
157854,,10,,99,,,,EA,B,SCREW TORX TAMPER-RESISTANT,"#8-32UNC X 1.500""",[SS.304] 381-610,0.3756,,157854,Inch Fastener,Misc. Fastener,157854.par           ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
119591,,10,,99,,,,EA,B,HEX.SOC.CAP SCREW,M4-0.70 X 20MM,[SS.304],0.1853,,119591,Metric Fastener,Hex.Socket Head Product,VTCY_M04-0.70X020_SS.,,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
113930,,6,,99,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.625""",ZINC PLATED [GR.5],0.0216,,113930,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.625_G,625_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101596,,30,,99,,,,EA,B,HEX.SOC.CAP SCREW,"1/4-20UNC X 0.500""",ZINC PLATED [A574],0.0366,,24101596,Inch Fastener,Hex.Socket Head Product,VTCY_0.250-20X0.500.p,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
123370,,10,,99,,,,EA,B,WASHER;FLAT M4,9MM OD;SS.304[A2],DIN 125A,0.0043,,123370,Metric Fastener,Nut & Washer,RP_M04_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
183938,,10,,99,,,,EA,B,SCREW TORX TAMPER-RESISTANT,"#8-32UNC X 1.000""",[SS.18-8] 381-G04-1N,0.6825,,183938,Inch Fastener,Misc. Fastener,183938.par           ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101194,,7,,99,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.0286,,24101194,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X020_CLS,00x020_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101216,,20,,99,,,,EA,B,WASHER;FLAT M4,9MM OD;ZINC PLATED[GR.5],DIN 125A,0.0026,,24101216,Metric Fastener,Nut & Washer,RP_M04.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100157,,4,,99,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.500""",ZINC PLATED [GR.5],0.0196,,24100157,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.500_G,500_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100081,,4,,99,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.250""",ZINC PLATED [GR.5],0.0684,,24100081,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100080,,9,,99,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 0.750""",ZINC PLATED [GR.5],0.0445,,24100080,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X0.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100058,,33,,99,,,,EA,B,WASHER;SPRING LOCK,"0.375""",ZINC PLATED,0.0113,,24100058,Inch Fastener,Nut & Washer,RR_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100056,,40,,99,,,,EA,B,WASHER;SPRING LOCK,"0.250""",ZINC PLATED,0.0056,,24100056,Inch Fastener,Nut & Washer,RR_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100504,,41,,99,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/4-20UNC,ZINC PLATED [GR.2],0.0165,,24100504,Inch Fastener,Nut & Washer,E_AB_0.250-20.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100049,,69,,99,,,,EA,B,"WASHER;FLAT 0.250""","0.734"" OD;ZINC PLATED[GR.5]",USS,0.0103,,24100049,Inch Fastener,Nut & Washer,RP_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100014,,20,,99,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.000""",ZINC PLATED [GR.5],0.0594,,24100014,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100002,,41,,99,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 1.000""",ZINC PLATED [GR.5],0.0253,,24100002,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100051,,2,,99,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
185502,,2,,99,,,,EA,B,CARRIAGE BOLT,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.222,,185502,Metric Fastener,Hex.Head Product & Screw,185502.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104854,,16,,MDR,,,,EA,B,WASHER;FLAT M6,12MM OD;SS.304[A2],DIN 125A,0.0075,,24104854,Metric Fastener,Nut & Washer,RP_M06_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,8,,MDR,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
123212,,19,,MDR,,,,EA,B,CARRIAGE BOLT,"3/8-16UNC X 1.000""",ZINC PLATED [GR.5],0.0872,,123212,Inch Fastener,Hex.Head Product & Screw,BCCC_0.375-16X1.000.P,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
185495,,16,,MDR,,,,EA,B,CARRIAGE BOLT,"1/4-20UNC X 0.750""",[SS.304],0.0514,,185495,Inch Fastener,Hex.Head Product & Screw,BCCC_0.250-20X0.750_S,750_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
188853,,12,,MDR,,,,EA,B,CARRIAGE BOLT,"3/8-16UNC X 0.750""",ZINC PLATED [GR.5],0.252,,188853,Inch Fastener,Hex.Head Product & Screw,188853.par           ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
190549,,26,,MDR,,,,EA,B,HEX.HD.FLANGE SCREW,"1/2-13 X 1.250""",FB1/2-13-1250,0.3253,,190549,Inch Fastener,Hex.Socket Head Product,190549.par           ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
190565,,58,,MDR,,,,EA,B,HEX.NUT FLANGE,1/2-13UNC,ZINC PLATED,0.1571,,190565,Inch Fastener,Nut & Washer,190565.par           ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
190566,,12,,MDR,,,,EA,B,HEX.NUT FLANGE,3/8-16UNC,ZINC PLATED,0.1018,,190566,Inch Fastener,Nut & Washer,190566.par           ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
191452,,32,,MDR,,,,EA,O,"J-BOLT 1/2-13 1"" DE FILET",J-BOLT #PC63DE,PC63DE,0,,191452,Inch Fastener,Hex.Head Product & Screw,191452.par           ,par,2.3125',50,,AMCAN INC.,
202144,,4,,MDR,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/2-13UNC,ZINC PLATED [GR.5],0.0704,,202144,Inch Fastener,Nut & Washer,E_AB_0.500-13.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100001,,8,,MDR,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.750""",ZINC PLATED [GR.5],0.0217,,24100001,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100014,,24,,MDR,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.000""",ZINC PLATED [GR.5],0.0594,,24100014,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100051,,52,,MDR,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100104,,4,,MDR,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 2.750""",ZINC PLATED [GR.5],0.2175,,24100104,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X2.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100172,,8,,MDR,,,,EA,B,WASHER;FLAT #10,"0.500"" OD;ZINC PLATED[GR.5]",SAE,0.0024,,24100172,Inch Fastener,Nut & Washer,RP_0.190.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100175,,44,,MDR,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/8-16UNC,ZINC PLATED [GR.2],0.0293,,24100175,Inch Fastener,Nut & Washer,E_AB_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100504,,8,,MDR,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/4-20UNC,ZINC PLATED [GR.2],0.0165,,24100504,Inch Fastener,Nut & Washer,E_AB_0.250-20.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
